,children,childrentxt,cover_id,fantasy,fantasytxt,medicine,medicinetxt,music,musictxt,mystery and detective stories,mystery and detective storiestxt,religion,religiontxt,romance,romancetxt,science,science fiction,science fictiontxt,sciencetxt,title,words,title_len,file
161,0.0,0,297025.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,a change is gonna come,"['change', 'gonna', 'come']",3,297025.jpg
162,0.0,0,446109.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the development of western music,"['development', 'western', 'music']",3,446109.jpg
163,0.0,0,18250.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,teaching music,"['teaching', 'music']",2,18250.jpg
164,0.0,0,18367.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,black music of two worlds,"['black', 'music', 'two', 'world']",4,18367.jpg
165,0.0,0,6805176.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,the bluesman,['bluesman'],1,6805176.jpg
166,0.0,0,6795219.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,hip hop america,"['hip', 'hop', 'america']",3,6795219.jpg
167,0.0,0,1370012.0,0.0,0,0.0,0,1.0,music,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,teenage nervous breakdown,"['teenage', 'nervous', 'breakdown']",3,1370012.jpg
168,0.0,0,6282786.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,poems,['poem'],1,6282786.jpg
169,0.0,0,2338339.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,dr jekyll and mr hyde,"['dr', 'jekyll', 'mr', 'hyde']",4,2338339.jpg
170,0.0,0,368439.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,sherlock holmes,"['sherlock', 'holmes']",2,368439.jpg
171,0.0,0,2037170.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,the adventures of sherlock holmes,"['adventure', 'sherlock', 'holmes']",3,2037170.jpg
172,0.0,0,7217737.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,the hound of the baskervilles,"['hound', 'baskervilles']",2,7217737.jpg
173,0.0,0,4846525.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,the case book of sherlock holmes,"['case', 'book', 'sherlock', 'holmes']",4,4846525.jpg
174,0.0,0,482463.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,the nine tailors,"['nine', 'tailor']",2,482463.jpg
175,0.0,0,836898.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,the red house mystery,"['red', 'house', 'mystery']",3,836898.jpg
176,0.0,0,756594.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,tom sawyer detective,"['tom', 'sawyer', 'detective']",3,756594.jpg
177,0.0,0,227339.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,the rainmaker,['rainmaker'],1,227339.jpg
178,0.0,0,404297.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,weep no more my lady,"['weep', 'lady']",2,404297.jpg
179,0.0,0,360798.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,the westing game,"['westing', 'game']",2,360798.jpg
180,0.0,0,4188425.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,the time of the hunter s moon,"['time', 'hunter', 'moon']",3,4188425.jpg
181,0.0,0,314398.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,the old man in the corner,"['old', 'man', 'corner']",3,314398.jpg
182,0.0,0,6824416.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,the clue of the broken locket,"['clue', 'broken', 'locket']",3,6824416.jpg
183,0.0,0,779425.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,the clue of the broken locket,"['clue', 'broken', 'locket']",3,779425.jpg
185,0.0,0,4965084.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,five on a secret trail,"['five', 'secret', 'trail']",3,4965084.jpg
186,0.0,0,5285092.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,the dollhouse murders,"['dollhouse', 'murder']",2,5285092.jpg
187,0.0,0,6787446.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,on the edge,['edge'],1,6787446.jpg
188,0.0,0,6602122.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,alvin s secret code,"['alvin', 'secret', 'code']",3,6602122.jpg
189,0.0,0,6629009.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,i o u,[],0,6629009.jpg
190,0.0,0,7304719.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,cam jansen and the mystery of the television dog,"['cam', 'jansen', 'mystery', 'television', 'dog']",5,7304719.jpg
191,0.0,0,6631858.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,scooby doo and the haunted castle,"['scooby', 'doo', 'haunted', 'castle']",4,6631858.jpg
192,0.0,0,401157.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,cam jansen and the mystery of the babe ruth baseball,"['cam', 'jansen', 'mystery', 'babe', 'ruth', 'baseball']",6,401157.jpg
193,0.0,0,1333702.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,kidnap at the catfish cafe,"['kidnap', 'catfish', 'cafe']",3,1333702.jpg
194,0.0,0,385586.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,scooby doo and the mummy s curse,"['scooby', 'doo', 'mummy', 'curse']",4,385586.jpg
195,0.0,0,433804.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,running out of time,"['running', 'time']",2,433804.jpg
196,0.0,0,428214.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,misery loves maggody,"['misery', 'love', 'maggody']",3,428214.jpg
197,0.0,0,6794940.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,the ghost of genny castle,"['ghost', 'genny', 'castle']",3,6794940.jpg
198,0.0,0,1073170.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,catch of the day,"['catch', 'day']",2,1073170.jpg
199,0.0,0,1073169.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,hot tempered farmers,"['hot', 'tempered', 'farmer']",3,1073169.jpg
200,0.0,0,2359176.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,walt disney s minnie mysteries,"['walt', 'disney', 'minnie', 'mystery']",4,2359176.jpg
201,0.0,0,436676.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,albert s halloween,"['albert', 'halloween']",2,436676.jpg
202,0.0,0,7291147.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,cam jansen and the mystery of the circus clown,"['cam', 'jansen', 'mystery', 'circus', 'clown']",5,7291147.jpg
203,0.0,0,402166.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,cam jansen and the catnapping mystery,"['cam', 'jansen', 'catnapping', 'mystery']",4,402166.jpg
204,0.0,0,110367.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,dead letter herculeah jones mystery ,"['dead', 'letter', 'herculeah', 'jones', 'mystery']",5,110367.jpg
205,0.0,0,3696685.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,the stolen trophy,"['stolen', 'trophy']",2,3696685.jpg
206,0.0,0,955435.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,the marvelous inventions of alvin fernald,"['marvelous', 'invention', 'alvin', 'fernald']",4,955435.jpg
207,0.0,0,401672.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,young cam jansen and the missing cookie,"['young', 'cam', 'jansen', 'missing', 'cookie']",5,401672.jpg
209,0.0,0,1073163.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,metal heads,"['metal', 'head']",2,1073163.jpg
210,0.0,0,433745.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,the view from the cherry tree,"['view', 'cherry', 'tree']",3,433745.jpg
211,0.0,0,1075546.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,truffle trouble,"['truffle', 'trouble']",2,1075546.jpg
212,0.0,0,1117260.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,cam jansen and the mystery of the gold coins,"['cam', 'jansen', 'mystery', 'gold', 'coin']",5,1117260.jpg
213,0.0,0,590063.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,the pilgrim village mystery,"['pilgrim', 'village', 'mystery']",3,590063.jpg
214,0.0,0,382633.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,ghost in the family,"['ghost', 'family']",2,382633.jpg
215,0.0,0,2534271.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,a fish named yum,"['fish', 'named', 'yum']",3,2534271.jpg
216,0.0,0,3791462.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,sammy keyes and the skeleton man,"['sammy', 'keyes', 'skeleton', 'man']",4,3791462.jpg
217,0.0,0,3696765.0,0.0,0,0.0,0,0.0,0,1.0,mystery and detective stories,0.0,0,0.0,0,0.0,0.0,0,0,the disappearing dinosaurs,"['disappearing', 'dinosaur']",2,3696765.jpg
218,0.0,0,7887033.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,religion,0.0,0,0.0,0.0,0,0,meditations,['meditation'],1,7887033.jpg
219,0.0,0,2753579.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,religion,0.0,0,0.0,0.0,0,0,poems,['poem'],1,2753579.jpg
220,0.0,0,5933400.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,religion,0.0,0,0.0,0.0,0,0,the golden bough,"['golden', 'bough']",2,5933400.jpg
221,0.0,0,406890.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,religion,0.0,0,0.0,0.0,0,0,the teachings of don juan,"['teaching', 'juan']",2,406890.jpg
222,0.0,0,308973.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,religion,0.0,0,0.0,0.0,0,0,egyptian magic,"['egyptian', 'magic']",2,308973.jpg
223,0.0,0,4618469.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,religion,0.0,0,0.0,0.0,0,0,essays,['essay'],1,4618469.jpg
225,0.0,0,2124030.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,religion,0.0,0,0.0,0.0,0,0,risale i nur,"['risale', 'nur']",2,2124030.jpg
226,0.0,0,500909.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,religion,0.0,0,0.0,0.0,0,0,egyptian mythology,"['egyptian', 'mythology']",2,500909.jpg
227,0.0,0,88427.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,religion,0.0,0,0.0,0.0,0,0,anatomy of the sacred,"['anatomy', 'sacred']",2,88427.jpg
228,0.0,0,174094.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,religion,0.0,0,0.0,0.0,0,0,surfing the himalayas,"['surfing', 'himalaya']",2,174094.jpg
229,0.0,0,4437453.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,religion,0.0,0,0.0,0.0,0,0,the second ring of power,"['second', 'ring', 'power']",3,4437453.jpg
230,0.0,0,7144936.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,religion,0.0,0,0.0,0.0,0,0,from pagan to christian,"['pagan', 'christian']",2,7144936.jpg
231,0.0,0,927682.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,religion,0.0,0,0.0,0.0,0,0,history of the first council of nice,"['history', 'first', 'council', 'nice']",4,927682.jpg
232,0.0,0,32244.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,religion,0.0,0,0.0,0.0,0,0,the jew in the lotus,"['jew', 'lotus']",2,32244.jpg
233,0.0,0,693183.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,religion,0.0,0,0.0,0.0,0,0,the language of letting go,"['language', 'letting', 'go']",3,693183.jpg
234,0.0,0,1346323.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,religion,0.0,0,0.0,0.0,0,0,a comparative history of ideas,"['comparative', 'history', 'idea']",3,1346323.jpg
235,0.0,0,5476467.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,religion,0.0,0,0.0,0.0,0,0,the fire from within,"['fire', 'within']",2,5476467.jpg
237,0.0,0,5687676.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,religion,0.0,0,0.0,0.0,0,0,greek votive offerings,"['greek', 'votive', 'offering']",3,5687676.jpg
238,0.0,0,265188.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,religion,0.0,0,0.0,0.0,0,0,intimations of christianity among the ancient greeks,"['intimation', 'christianity', 'among', 'ancient', 'greek']",5,265188.jpg
239,0.0,0,4092545.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,religion,0.0,0,0.0,0.0,0,0,america s religions,"['america', 'religion']",2,4092545.jpg
240,0.0,0,14640.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,religion,0.0,0,0.0,0.0,0,0,religion in america,"['religion', 'america']",2,14640.jpg
241,0.0,0,4009926.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,religion,0.0,0,0.0,0.0,0,0,how to live between office visits,"['live', 'office', 'visit']",3,4009926.jpg
244,0.0,0,850061.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,religion,0.0,0,0.0,0.0,0,0,the way of passion,"['way', 'passion']",2,850061.jpg
245,0.0,0,691322.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,religion,0.0,0,0.0,0.0,0,0,the celtic book of days,"['celtic', 'book', 'day']",3,691322.jpg
246,0.0,0,92387.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,religion,0.0,0,0.0,0.0,0,0,awakening,['awakening'],1,92387.jpg
247,0.0,0,4914436.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,religion,0.0,0,0.0,0.0,0,0,el islam,"['el', 'islam']",2,4914436.jpg
248,0.0,0,818385.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,religion,0.0,0,0.0,0.0,0,0,black religion and black radicalism,"['black', 'religion', 'black', 'radicalism']",4,818385.jpg
249,0.0,0,602397.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,religion,0.0,0,0.0,0.0,0,0,greek folk religion,"['greek', 'folk', 'religion']",3,602397.jpg
250,0.0,0,869620.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,anna karenina,"['anna', 'karenina']",2,869620.jpg
251,0.0,0,6287123.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,heart of darkness,"['heart', 'darkness']",2,6287123.jpg
252,0.0,0,7109935.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,sense and sensibility,"['sense', 'sensibility']",2,7109935.jpg
253,0.0,0,2422976.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,the portrait of a lady,"['portrait', 'lady']",2,2422976.jpg
254,0.0,0,109052.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,persuasion,['persuasion'],1,109052.jpg
255,0.0,0,1064130.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,the return of the native,"['return', 'native']",2,1064130.jpg
256,0.0,0,103360.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,far from the madding crowd,"['far', 'madding', 'crowd']",3,103360.jpg
257,0.0,0,893995.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,the age of innocence,"['age', 'innocence']",2,893995.jpg
258,0.0,0,230142.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,women in love,"['woman', 'love']",2,230142.jpg
259,0.0,0,5988543.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,daisy miller,"['daisy', 'miller']",2,5988543.jpg
260,0.0,0,2804851.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,washington square,"['washington', 'square']",2,2804851.jpg
261,0.0,0,5734952.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,the ambassadors,['ambassador'],1,5734952.jpg
262,0.0,0,2898685.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,the woodlanders,['woodlanders'],1,2898685.jpg
263,0.0,0,295553.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,this side of paradise,"['side', 'paradise']",2,295553.jpg
264,0.0,0,5641338.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,under the greenwood tree or the mellstock quire a rural painting of the dutch school,"['greenwood', 'tree', 'mellstock', 'quire', 'rural', 'painting', 'dutch', 'school']",8,5641338.jpg
265,0.0,0,1468589.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,howards end,"['howard', 'end']",2,1468589.jpg
266,0.0,0,988752.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,the well beloved,"['well', 'beloved']",2,988752.jpg
267,0.0,0,6454821.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,framley parsonage,"['framley', 'parsonage']",2,6454821.jpg
268,0.0,0,419052.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,the wings of the dove,"['wing', 'dove']",2,419052.jpg
269,0.0,0,4009183.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,the eustace diamonds,"['eustace', 'diamond']",2,4009183.jpg
270,0.0,0,6807968.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,the return of the native,"['return', 'native']",2,6807968.jpg
271,0.0,0,7274775.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,the godfather,['godfather'],1,7274775.jpg
272,0.0,0,1983440.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,mansfield park,"['mansfield', 'park']",2,1983440.jpg
273,0.0,0,5714864.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,at the foot of the rainbow,"['foot', 'rainbow']",2,5714864.jpg
274,0.0,0,979858.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,therese raquin,"['therese', 'raquin']",2,979858.jpg
275,0.0,0,14250.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,the custom of the country,"['custom', 'country']",2,14250.jpg
276,0.0,0,872066.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,riders of the purple sage,"['rider', 'purple', 'sage']",3,872066.jpg
277,0.0,0,4403121.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,rachel ray,"['rachel', 'ray']",2,4403121.jpg
278,0.0,0,4277707.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,light a penny candle,"['light', 'penny', 'candle']",3,4277707.jpg
279,0.0,0,6921849.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,devil s cub,"['devil', 'cub']",2,6921849.jpg
280,0.0,0,6894124.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,powder and patch,"['powder', 'patch']",2,6894124.jpg
281,0.0,0,1818657.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,night over water,"['night', 'water']",2,1818657.jpg
282,0.0,0,7002767.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,the toll gate,"['toll', 'gate']",2,7002767.jpg
283,0.0,0,76602.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,echoes,['echo'],1,76602.jpg
284,0.0,0,7002404.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,the quiet gentleman,"['quiet', 'gentleman']",2,7002404.jpg
285,0.0,0,6924187.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,royal escape,"['royal', 'escape']",2,6924187.jpg
286,0.0,0,7002066.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,the reluctant widow,"['reluctant', 'widow']",2,7002066.jpg
287,0.0,0,318845.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,hidden riches,"['hidden', 'rich']",2,318845.jpg
288,0.0,0,6921929.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,the convenient marriage,"['convenient', 'marriage']",2,6921929.jpg
289,0.0,0,6923107.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,an infamous army,"['infamous', 'army']",2,6923107.jpg
290,0.0,0,535122.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,the god of small things,"['god', 'small', 'thing']",3,535122.jpg
291,0.0,0,6630361.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,no greater love,"['greater', 'love']",2,6630361.jpg
292,0.0,0,6642170.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,peachtree road,"['peachtree', 'road']",2,6642170.jpg
293,0.0,0,237818.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,come love a stranger,"['come', 'love', 'stranger']",3,237818.jpg
294,0.0,0,3934067.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,grievous sin,"['grievous', 'sin']",2,3934067.jpg
295,0.0,0,2815511.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,forget me not,['forget'],1,2815511.jpg
296,0.0,0,6623388.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,romance,0.0,0.0,0,0,forever in your embrace,"['forever', 'embrace']",2,6623388.jpg
297,0.0,0,7877366.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1.0,science fiction,science,brave new world,"['brave', 'new', 'world']",3,7877366.jpg
299,0.0,0,308949.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0.0,0,science,literary works of leonardo da vinci,"['literary', 'work', 'leonardo', 'da', 'vinci']",5,308949.jpg
300,0.0,0,5892088.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0.0,0,science,the variation of animals and plants under domestication,"['variation', 'animal', 'plant', 'domestication']",4,5892088.jpg
301,0.0,0,5378174.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0.0,0,science,mein weltbild,"['mein', 'weltbild']",2,5378174.jpg
302,0.0,0,570731.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0.0,0,science,longitude,['longitude'],1,570731.jpg
303,0.0,0,798059.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1.0,science fiction,science,captain s glory,"['captain', 'glory']",2,798059.jpg
304,0.0,0,4892166.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0.0,0,science,regulae ad directionem ingenii,"['regulae', 'ad', 'directionem', 'ingenii']",4,4892166.jpg
305,0.0,0,303889.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0.0,0,science,the sciences,['science'],1,303889.jpg
306,0.0,0,1099656.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0.0,0,science,psychology of learning and motivation,"['psychology', 'learning', 'motivation']",3,1099656.jpg
307,0.0,0,1173785.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0.0,0,science,how to write and publish a scientific paper,"['write', 'publish', 'scientific', 'paper']",4,1173785.jpg
308,0.0,0,1242604.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0.0,0,science,the sciences,['science'],1,1242604.jpg
309,0.0,0,6872278.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0.0,0,science,active physics,"['active', 'physic']",2,6872278.jpg
310,0.0,0,3742927.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1.0,science fiction,science,reach for tomorrow,"['reach', 'tomorrow']",2,3742927.jpg
311,0.0,0,6724433.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0.0,0,science,active physics,"['active', 'physic']",2,6724433.jpg
